Gatotkaca 57= 74-08-47-58
Gedung Bioskop 48= 46-00-79-50
Gelang 55= 51-39-20-89
Gelas 66= 52-24-25-74
Gelatik 40= 43-76-78-26
Gembala 82= 53-10-28-60
Gendongan 61= 65-27-92-77
Gentong 74= 57-16-24-66
Gerak Badan 86= 84-33-37-83
Gerak Jalan 42= 45-97-72-47
Gigi 33= 09-86-16-36
Golf 40= 43-76-78-26
Grendel 43= 40-71-41- 21
Gulat 33= 09-86-16-36
Guling 64= 63-46-98-96
Gunting 69= 77-12-44-62
Gunung 69= 77-12-44-62
Guru 50= 47-98-74-48
Hakim 15= 11-54-00-04
Handuk 60= 68-32-93-82
Harmonika 22= 21-70-50-20
Hidung Belang 99= 91-30-60-80
Hidung 81= 76-44-49-94
Hockey 26= 31-90-80-40
Hotel 47= 50-92-21-42
Hyang Wenang 46= 48-64-73-14
Ibu Suri 83= 59-36-26-86
Ik Ol 72= 71-20-40-70
Ikan Bendera 89= 94-05-67-55
Ikan Duri 52= 66-03-99-85
Ikan Duyung 56= 70-41-71-91
Ikan Gabus 37= 38-59-83-09
Ikan Gergaji 78= 79-18-46-68
Ikan Hiu 65= 61-04-90-54
Ikan Kakap 94= 89-31-36-81
Ikan Layur 83= 59-36-26-86
Ikan Lele 54= 62-15-95-65
Ikan Mas 30= 23-99-58-49
Ikan Nus 96= 98-14-63-64
Ikan Paus 52= 66-03-99-85
Ikan Sampan 86= 84-33-37-83
Ikan Suro 43= 40-71-41- 21
Ikan Tengiri 92= 95-47-62-97
Ikan Terbang 72= 71-20-40-70
Ikan Tongkol 98= 96-50-69-00
Indrajit 74= 57-16-24-66
Irawan 95= 92-01-65-51
Istri Sejati 20= 06-72-19-22
Jagung 25= 35-85-82-03
Jala 09= 33-87-88-37
Jalan Jalan 35= 25-75-52-02
Jalan Raya 95= 92-01-65-51
Jambu Mente 01= 05-95-12-45
Jambu 94= 89-31-36-81
Jamu 34= 36-73-89-23
Janda Muda 43= 40-71-41- 21
Jangkrik 85= 75-25-42-52
Jarum 28= 29-68-56-18
Jaya Langsuan 14= 13-96-08-46
Jejaka Tua 42= 45-97-72-47
Jembatan 14= 13-96-08-46
Jembawan 16= 02-74-15-24
Jendela 63= 64-29-97-79
Jendral Serakah 79= 78-13-43-63
Jendral Wanita 76= 81-40-30-90
Jendral 09= 33-87-88-37
Jerapah 66= 52-24-25-74
Jeruk Bali 79= 78-13-43-63
Jeruk Keprok 89= 94-05-67-55
Jeruk Manis 88= 87-17-34-67
Kacamata 61= 65-27-92-77
Kacang Tanah 84= 86-23-39-73
Kakak Tua 59= 83-37-38-87
Kaki 03= 32-52-85-25
Kala Srenggi 65= 61-04-90-54
Kalajengking 39= 44-55-77-05
Kali Brantas 97= 00-42-11-92
Kalkun 84= 86-23-39-73
Kalung 54= 62-15-95-65
Kamar Mandi 32= 03-60-18-10
Kambing 35= 25-75-52-02
Kancil 81= 76-44-49-94
Kangguru 55= 51-39-20-89
Kangkung 04= 12-65-05-15
Kangsa Dewa 25= 35-85-82-03
Kantor Polisi 18= 10-78-01-28
Kantor Pos 15= 11-54-00-04
Kaos Kaki 93= 90-21-61-71
Kaos 59= 83-37-38-87
Kapak 21= 22-93-55-43
Kapas 06= 20-91-51-41
Karambol 60= 68-32-93-82
Kas Uang 18= 10-78-01-28
Kasti 55= 51-39-20-89
Katak 24= 07-66-14-16
Kates (Pepaya) 09= 33-87-88-37
Kayang 65= 61-04-90-54
Kayu Manis 05= 01-89-10-39
Kecelakaan 98= 96-50-69-00
Kecoak 61= 65-27-92-77
Kecubung 08= 17-57-04-07
Kedondong 59= 83-37-38-87
Kekasih 39= 44-55-77-05
Kelabang 10= 18-82-03-32
Kelapa 10= 18-82-03-32
Keledai 70= 56-22-29-72
Kelelawar 49= 41-80-70-30
Kelenteng 10= 18-82-03-32
Kelinci 06= 20-91-51-41
Kemaron 55= 51-39-20-89
Kenanga 56= 70-41-71-91
Kendi 45= 42-51-75-01
Kepala Desa 80= 73-49-48-99
Kepala Polisi 60= 68-32-93-82
Kepala Rampok 05= 01-89-10-39
Kepiting 41= 49-56-76-06
Kera Hanoman 54= 62-15-95-65
Kerang 51= 55-45-22-95
Kerbau 09= 33-87-88-37
Kereta Api 05= 01-89-10-39
Keris 13= 14-79-07-29
Kerja Bakti 87= 88-09-33-59
Kipas Angin 13= 14-79-07-29
Kipas 11= 15-77-02-27
Klompen 65= 61-04-90-54
Kodak 99= 91-30-60-80
Kompor 79= 78-13-43-63
Koran 29= 28-63-53-13
Korek Api 67= 58-38-23-88
Kran Air 72= 71-20-40-70
Kresna 15= 11-54-00-04
Kucing 18= 10-78-01-28
Kuda Laut 64= 63-46-98-96
Kuda Nil 82= 53-10-28-60
Kuda 12= 04-69-17-19
Kumbakarna 00= 97-48-64-98
Kumbang 63= 64-29-97-79
Kumis 83= 59-36-26-86
Kunci 95= 92-01-65-51
Kupu Kupu 19= 27-62-54-12
Kura Kura 27= 19-61-06-11
Kursi 29= 28-63-53-13
Kwan Im 04= 12-65-05-15
Kwan Kong 94= 89-31-36-81
Laba Laba 33= 09-86-16-36
